datetime,price,size,commission,type,pnl,pnlcomm,signal
2017-12-24,14619.0,567.3085516960685,16586.967434489652,buy,0.0,-16586.967434489652,1
2017-12-27,15764.439999999999,567.3085516960685,17886.60324939914,sell,649817.907454744,631931.3042053449,-1
2017-12-31,12640.0,728.9256011869314,18427.239198005627,buy,0.0,-18427.239198005627,1
2018-01-07,17149.67,728.9256011869314,25001.667029814962,sell,3287213.915904667,3262212.2488748524,-1
2018-01-09,14999.99,747.8846239412937,22436.523760546334,buy,0.0,-22436.523760546334,1
2018-01-10,14403.51,747.8846239412937,21544.32731956933,sell,-446098.2204885036,-467642.5478080729,-1
2018-01-12,13243.829999999998,874.6413699715569,23167.203229740808,buy,0.0,-23167.203229740808,1
2018-01-13,13781.41,874.6413699715569,24107.582645079427,sell,470189.7076693103,446082.12502423086,-1
2018-01-17,11386.34,1038.0705826828535,23639.649196850165,buy,0.0,-23639.649196850165,1
2018-01-21,12775.99,1038.0705826828535,26524.75876730062,sell,1442554.7852252275,1416030.026457927,-1
2018-01-23,10808.99,1207.7689809604444,26109.525675023266,buy,0.0,-26109.525675023266,1
2018-01-25,11400.96,1207.7689809604444,27539.451682341572,sell,714963.0036591534,687423.5519768118,-1
2018-01-26,11155.54,1246.6385317951922,27813.85201396508,buy,0.0,-27813.85201396508,1
2018-01-27,11092.95,1246.6385317951922,27657.797802554956,sell,-78027.10570506006,-105684.90350761502,-1
2018-02-06,6874.27,2015.3796110607582,27708.52719785328,buy,0.0,-27708.52719785328,1
2018-02-09,8259.76,2015.3796110607582,33293.10379251042,sell,2792288.297328569,2758995.1935360585,-1
2018-02-10,8693.98,1898.7938873631842,33016.15216171555,buy,0.0,-33016.15216171555,1
2018-02-11,8560.0,1898.7938873631842,32507.351351657715,sell,-254400.40502891876,-286907.75638057647,-1
2018-02-12,8067.0,1999.9939114243286,32267.901766920117,buy,0.0,-32267.901766920117,1
2018-02-19,10421.06,1999.9939114243286,41684.11310117522,sell,4708105.667127553,4666421.554026378,-1
2018-02-25,9689.99,1927.3006395643768,37351.04784874483,buy,0.0,-37351.04784874483,1
2018-03-04,11445.0,1927.3006395643768,44115.91163962858,sell,3382431.895441875,3338315.9838022464,-1
2018-03-09,9293.06,2274.117106258476,42267.01343097278,buy,0.0,-42267.01343097278,1
2018-03-12,9535.04,2274.117106258476,43367.595145717634,sell,550290.8573724292,506923.2622267116,-1
2018-03-16,8265.05,2720.884362151812,44976.49059480567,buy,0.0,-44976.49059480567,1
2018-03-19,8205.55,2720.884362151812,44652.70535570961,sell,-161892.61954803392,-206545.32490374352,-1
2018-03-20,8596.79,2664.2415905275498,45807.850926062674,buy,0.0,-45807.850926062674,1
2018-03-21,8904.02,2664.2415905275498,47444.920813778226,sell,818534.9438577779,771090.0230439997,-1
2018-03-25,8541.96,2666.0822516318494,45547.13590029838,buy,0.0,-45547.13590029838,1
2018-03-27,8152.26,2666.0822516318494,43469.191393376525,sell,-1038972.2534609288,-1082441.4448543054,-1
2018-03-31,6839.63,3305.0043881345723,45210.01432643373,buy,0.0,-45210.01432643373,1
2018-04-02,6816.310000000001,3305.0043881345723,45055.868921771136,sell,-77072.7023312971,-122128.57125306824,-1
2018-04-05,6799.369999999999,3418.504238974197,46487.350334707975,buy,0.0,-46487.350334707975,1
